Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409545.3498,-0.1460,-0.0646,10.5512,-2.7252,-0.2061,0.7328
1745409545.4558,-0.3184,-0.0287,10.2376,-3.6947,0.6412,0.5954
1745409545.5618,-0.1628,0.1700,9.7181,-5.8473,0.8321,0.6489
1745409545.6679,-0.2490,0.0646,9.7444,-3.7023,0.3435,0.6260
1745409545.7739,-0.0934,-0.0934,10.6159,-3.3053,0.8779,0.3206
1745409545.8799,-0.1844,-0.2682,11.0708,-3.0916,-1.0534,0.5267
1745409545.9860,-0.2777,-0.7039,12.0261,-0.1908,-3.5802,1.0305
1745409546.0921,-0.0407,-0.5842,10.9990,1.1679,-4.7634,0.8397
1745409546.1981,0.0527,0.2059,8.2768,-0.4962,-2.6870,0.3130
1745409546.3041,0.4788,0.2801,7.3502,-2.1298,0.1985,0.4046
1745409546.4102,0.3208,0.0144,9.2177,-4.9847,4.6336,0.3664
1745409546.5162,-0.2035,-0.3136,10.5082,-5.7481,0.8931,0.8931
1745409546.6222,-0.3998,-0.4956,11.4610,-0.7405,-3.2519,0.5573
1745409546.7282,-0.5028,-0.7805,11.6837,0.0076,-5.9160,0.5496
1745409546.8342,0.2155,0.0096,9.5840,1.9389,-3.0000,0.7710
1745409546.9437,0.8140,0.3376,7.6591,-5.8550,4.0611,0.4962
1745409547.0517,-0.1317,-0.6919,11.1498,-3.1908,3.4809,0.3664
1745409547.1579,-0.2155,-0.7494,11.4443,1.0229,-3.6183,1.1374
1745409547.2664,0.3328,0.2442,8.1618,-3.3893,0.4580,0.0992
1745409547.3728,-0.0838,0.4070,9.0333,-5.2290,2.2137,0.3817
1745409547.4790,-0.2801,-0.7350,11.5496,0.4580,-3.0000,0.9542
1745409547.5862,0.0766,-0.0455,9.6438,1.0076,-5.2366,0.7710
1745409547.6934,0.2849,0.5291,9.1051,-6.0076,4.5725,0.3969
1745409547.8011,-0.3400,-0.3352,10.5489,-5.2901,-0.3740,1.9313
1745409547.9072,-0.3974,-0.8356,11.9758,-0.0534,-6.9160,1.1527
1745409548.0132,0.5171,0.1844,7.5226,-2.2672,-0.0229,-1.9542
1745409548.1192,0.8236,0.0311,8.7508,-5.7939,6.1145,0.1985
1745409548.2253,-0.3759,-0.2777,10.3789,-2.5115,1.2214,0.7863
1745409548.3313,-0.6105,-0.6393,12.2009,1.6031,-5.4122,0.3435
1745409548.4373,0.1101,0.2586,9.5217,-0.2672,-1.7786,0.3053
1745409548.5434,-0.0503,0.4334,7.7117,-2.2748,1.9847,0.7252
1745409548.6494,-0.1077,0.7159,8.3773,-4.9542,5.3282,0.0382
1745409548.7554,-0.2873,-0.1508,10.8673,-3.4733,2.4733,0.0840
1745409548.8615,-0.3280,-0.6297,11.9064,-0.5420,-5.6565,1.3130
1745409548.9675,0.1460,-0.1365,9.4834,0.0458,-3.4885,0.5573
1745409549.0757,0.0599,0.3687,8.0900,-5.1221,1.9847,0.2137
1745409549.1818,-0.8021,-0.8715,11.6981,-2.8550,-0.5954,0.8702
1745409549.2880,-0.0575,-0.2011,9.1363,0.5802,-6.5954,-0.3053
1745409549.3941,0.7853,-0.0503,8.8226,-6.0534,5.1679,-0.1908
1745409549.5003,-0.2993,-1.1947,12.0620,0.5191,-6.7939,0.8702
1745409549.6064,0.2394,-0.0096,7.5369,-2.0000,3.6412,-1.0687
1745409549.7124,-0.4764,-1.4006,12.2056,0.7405,-5.7939,0.4198
1745409549.8184,0.3352,0.1508,8.0613,-5.0534,1.7405,-0.4351
1745409549.9244,-0.2897,-1.1372,12.1314,0.9084,-6.5267,0.3130
1745409550.0304,0.3160,-0.9170,9.8904,-4.7786,7.0916,-0.2748
1745409550.1365,-0.4429,-1.0822,10.6614,1.5038,-5.8092,0.4809
1745409550.2425,-0.0407,-0.5578,10.6279,-1.2519,-2.6947,-0.4122
1745409550.3485,0.7638,-0.1245,8.5042,-3.9084,-1.9160,-0.3893
1745409550.4545,0.2179,-1.5060,12.0620,-0.1221,-5.8168,0.0992
1745409550.5606,0.2203,-1.0774,10.8218,-3.9008,2.2824,-0.8168
1745409550.6666,0.4310,-0.4788,8.5760,0.1374,-4.2672,-0.1756
1745409550.7731,-0.0766,-1.1564,11.1594,-1.1069,-3.1908,0.2901
1745409550.8792,0.5195,-0.5674,7.2496,-0.0229,1.6031,-0.5038
1745409550.9877,-0.7733,-1.7119,12.5265,4.4580,-12.7939,0.7634
1745409551.0947,2.0638,0.5674,7.8793,-5.4427,3.6031,-0.8397
1745409551.2008,0.5171,-0.7997,12.0093,-3.6947,-4.0229,1.0382
1745409551.3069,0.1915,0.5794,7.8937,-5.2748,-1.7863,-0.1527
1745409551.4158,-0.1101,0.3926,8.9687,-5.9237,5.3130,-0.4198
1745409551.5219,-0.9481,-0.7398,11.7723,1.3588,-9.3359,1.3511
1745409551.6279,1.0989,0.3376,9.6510,1.7939,-3.9542,0.3435
1745409551.7340,0.9792,1.1923,7.6878,-1.6718,-1.0382,0.7786
1745409551.8400,0.9266,0.5818,12.0165,-1.0000,3.4656,1.6031
1745409551.9460,1.4485,0.8523,9.7540,-3.1832,3.3206,0.5191
1745409552.0521,1.1851,0.6871,9.5170,-7.2061,9.2672,1.5115
1745409552.1581,-0.3663,-0.4573,11.0133,-5.1069,-1.1527,2.8473
1745409552.2641,0.0862,0.0958,8.2361,-5.3740,3.2824,1.1450
1745409552.3702,0.5578,-0.7446,10.7117,0.4733,1.0534,2.7023
1745409552.4763,-0.5291,0.0311,11.8417,2.8931,-5.3740,3.7557
1745409552.5824,0.1125,-0.2203,11.2504,-0.4733,-2.2366,0.0763
1745409552.6886,0.5195,-0.1101,11.4802,-0.6336,-5.4122,3.1832
1745409552.7948,-0.1676,0.0287,11.6885,-1.7939,-2.8092,3.7099
1745409552.9010,0.1844,-0.4573,10.7978,-0.6489,-0.9542,2.6107
1745409553.0070,0.4525,-0.2634,12.2080,-3.1832,1.5878,3.3130
1745409553.1131,0.2969,-0.1053,10.6662,-2.6412,-0.7328,5.8321
1745409553.2191,0.9912,-0.8140,11.9064,-0.6718,-0.9542,3.6947
1745409553.3251,0.8930,-0.7015,9.9910,-1.7634,-1.0305,3.6641
1745409553.4311,-0.4094,-0.2514,8.9974,0.3359,-0.0305,5.7328
1745409553.5371,-0.2945,0.2825,9.0764,0.9313,-4.9924,4.6718
1745409553.6432,0.4645,1.2067,7.4531,1.9008,-3.3359,2.0076
1745409553.7492,1.8196,1.6328,7.6016,-6.1756,7.7710,6.3969
1745409553.8552,0.7733,0.3424,10.0963,-2.6641,2.0840,6.6107
1745409553.9613,-0.2921,-0.8045,12.0380,0.1527,-3.5267,5.0840
1745409554.0673,-0.1460,0.0718,9.6534,-3.3893,-2.8550,7.3130
1745409554.1734,0.6919,0.0742,9.4020,-4.2672,-0.7710,7.6947
1745409554.2795,1.3934,-0.0311,11.9854,-2.3893,-2.8092,6.9542
1745409554.3877,1.9321,0.1389,8.1403,-1.5344,3.5115,7.7099
1745409554.4938,0.1891,0.6776,9.1435,-3.2290,7.0763,9.5954
1745409554.5999,-0.7925,-0.1245,10.6638,-3.1985,-6.4504,9.6870
1745409554.7060,0.5387,0.6201,8.2648,-3.3435,-7.6870,9.1069
1745409554.8121,1.8866,0.5746,9.3853,-9.9160,3.3435,10.0305
1745409554.9181,1.2522,-0.1652,9.8785,-1.7634,0.6260,10.8321
1745409555.0241,0.7757,-0.0479,9.7731,-2.5191,4.6870,12.8473
1745409555.1302,-0.2777,-0.1700,13.0292,-1.3893,-0.5344,13.5954
1745409555.2362,1.1277,0.3328,9.3015,-1.3206,-4.5954,12.2290
1745409555.3423,1.1636,0.1844,9.3470,-4.1145,2.2519,12.8702
1745409555.4483,0.6464,0.4070,10.4196,2.0229,-5.0992,13.5954
1745409555.5543,1.2665,0.3543,9.0405,-2.5954,5.4351,12.8779
1745409555.6604,0.2490,0.2274,11.7076,-3.5725,-1.7405,13.4046
1745409555.7664,1.1540,0.5962,7.7907,-4.1527,2.3282,13.4427
1745409555.8724,0.0383,0.1460,11.4275,-2.1527,-2.3206,14.1450
1745409555.9785,-0.1939,1.0558,8.7125,-3.3130,-2.4580,14.4656
1745409556.0846,0.0383,0.1006,11.4994,-4.7328,-3.8473,13.8702
1745409556.1909,1.4198,-0.2179,10.1897,-4.3511,0.3206,13.4122
1745409556.2997,0.1724,0.3807,9.5529,-4.3282,-0.9924,14.0992
1745409556.4059,-0.1365,0.2729,7.4172,-4.2061,0.2366,13.1450
1745409556.5148,0.7853,-0.4549,11.7316,-2.3588,-3.3740,13.0992
1745409556.6208,0.7805,0.1508,10.3693,-3.4275,-1.4198,13.2977
1745409556.7269,0.1987,-0.3783,11.3342,-2.0534,-1.6412,13.2366
1745409556.8346,0.4741,0.2849,10.3813,-1.2672,1.7710,15.5878
1745409556.9407,0.9050,-0.0862,11.2695,-3.0076,-1.6107,13.6183
1745409557.0467,0.5866,0.1053,8.5449,-2.8168,-3.4427,13.8473
1745409557.1528,1.4964,-0.0862,10.7428,-3.1679,0.2214,13.7557
1745409557.2588,1.9632,0.2658,10.7260,3.8168,-4.0534,14.0840
1745409557.3648,0.8691,0.5507,9.3781,-4.4962,4.0763,15.1756
1745409557.4709,0.3160,0.2155,10.3669,-1.8702,-4.3130,14.7786
1745409557.5769,0.0766,0.1317,8.9902,-0.3664,-4.2290,14.9313
