Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745320784.5702,0.1365,0.1652,10.2544,-1.4809,-2.3206,0.4122
1745320784.6762,0.2059,0.1365,9.4308,-1.5878,-0.7939,0.0458
1745320784.7822,0.2131,0.2203,9.5553,-1.7634,-0.7481,0.3435
1745320784.8883,0.1772,0.0168,9.6989,-1.7099,-1.3511,0.3359
1745320784.9943,0.1963,0.0622,9.6558,-1.7176,-1.1069,0.2443
1745320785.1004,0.2777,0.1532,9.7229,-1.4809,-0.4275,0.1908
1745320785.2065,0.2011,0.2155,9.6678,-1.5038,-1.0229,0.3206
1745320785.3126,0.1580,0.1628,9.8138,-0.0305,-0.5878,-1.8931
1745320785.4188,0.2227,0.1125,9.6702,-1.6489,-1.0153,0.1527
1745320785.5248,0.1556,0.0311,9.7085,-1.7557,-0.6641,0.0611
1745320785.6309,0.1891,0.1676,9.5672,-1.6641,-0.7328,0.2366
1745320785.7369,0.2825,0.1987,9.6295,-1.6489,-0.8092,0.1145
1745320785.8431,0.2203,0.1580,9.7037,-1.5344,-0.9695,0.2061
1745320785.9492,0.1987,0.1724,9.8186,-1.5878,-0.8321,1.9389
1745320786.0552,0.2059,0.2298,9.6271,-1.5802,-0.8626,0.0916
1745320786.1612,0.2849,0.2227,9.7420,-1.7252,-0.9542,1.9313
1745320786.2673,0.2442,0.1939,9.7133,-1.6718,-1.0229,0.1527
1745320786.3733,0.1963,0.1748,9.6965,-1.6260,-0.7557,0.0992
1745320786.4793,0.1915,0.1724,9.6271,-1.6718,-0.9008,-0.0305
1745320786.5853,0.2705,0.0982,9.5936,-1.5878,-0.6947,1.9466
1745320786.6914,0.2370,0.0263,9.6893,-1.8168,-0.8397,0.1756
1745320786.7974,0.2274,0.2179,9.7133,-1.6870,-0.9084,-0.1527
1745320786.9034,0.2346,0.1245,9.7300,-1.5496,-1.0000,0.1374
1745320787.0094,0.2370,0.0934,9.6869,-1.6870,-0.8702,0.2901
1745320787.1155,0.1891,0.1676,9.5648,-1.5878,-0.9542,0.1603
1745320787.2215,0.2490,0.2059,9.6869,-1.7328,-0.9771,0.1069
1745320787.3275,0.2682,0.2490,9.6893,-1.7557,-0.9618,0.0840
1745320787.4335,0.1724,0.0359,9.7324,-1.4809,-0.8779,0.2977
1745320787.5396,0.1939,0.1413,9.5217,-1.7634,-0.9542,0.0840
1745320787.6456,0.2538,0.1939,9.6941,-1.5878,-0.8473,0.1985
1745320787.7518,0.2298,0.0910,9.5888,-1.5878,-0.9542,0.1527
1745320787.8580,0.1915,0.1652,9.7372,-1.6336,-0.8702,0.2977
1745320787.9642,0.1987,0.2969,9.6319,-1.5802,-0.7023,-1.8702
1745320788.0703,0.1987,0.1700,9.7085,-1.7786,-0.9542,0.1756
1745320788.1764,0.2346,0.1389,9.7636,-1.5649,-1.0229,0.1069
1745320788.2827,0.1604,0.2921,9.7229,-1.8244,-0.8015,0.0840
1745320788.3889,0.2586,0.1796,9.6822,-1.6718,-0.9313,1.9389
1745320788.4961,0.1796,0.1293,9.6726,-1.5191,-0.8397,0.1527
1745320788.6021,0.1484,0.1772,9.7396,-1.5649,-0.8855,0.2595
1745320788.7081,0.4573,0.2011,9.6343,-1.7634,-0.8550,0.1985
1745320788.8142,0.2203,0.2538,9.6845,-1.8702,-0.7710,0.2061
1745320788.9202,0.1915,0.1915,9.6438,-1.6412,-0.6107,-0.0382
1745320789.0262,0.2370,0.1197,9.4810,-2.0534,-0.0611,0.2519
1745320789.1322,0.2610,0.2993,9.6510,-1.5802,-0.9313,0.2366
1745320789.2383,0.2131,0.1772,9.5313,-1.7023,-0.7710,-0.0382
1745320789.3444,0.1580,0.1676,9.7540,-1.6718,-0.8015,0.0916
1745320789.4504,0.2274,0.1796,9.7588,-1.5191,-1.0916,0.2595
1745320789.5564,0.2729,0.2394,9.7013,-1.7176,-0.8626,0.2061
1745320789.6625,0.2179,0.1269,9.6893,-1.7786,-0.8855,0.2977
1745320789.7685,0.2849,0.1365,9.7229,-1.6718,-1.0000,0.3130
1745320789.8746,0.2729,0.2658,9.4044,-1.7481,-0.4962,0.3664
1745320789.9806,0.2251,0.1844,9.7252,-1.5878,-0.7634,0.2290
