Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409294.9562,0.1724,0.2083,9.8904,-1.8702,-0.7328,0.2519
1745409295.0623,0.1676,0.2394,9.8641,-1.9466,-0.5725,0.1679
1745409295.1684,0.2274,0.2131,9.9144,-1.8321,-0.8092,0.4885
1745409295.2746,0.1580,0.1915,9.8210,-2.0458,-0.7405,0.3053
1745409295.3807,0.1317,0.2274,9.8330,-2.0534,-0.6870,0.1527
1745409295.4873,0.1580,0.2418,9.9168,-2.0229,-0.6794,0.2443
1745409295.5987,0.2059,0.2562,9.7636,-2.1069,-0.6794,0.2748
1745409295.7049,0.1987,0.2131,9.7851,-2.0534,-0.3817,0.3359
1745409295.8112,0.2969,0.2131,9.7995,-2.0305,-0.6107,0.2824
1745409295.9174,0.1652,0.2729,9.9551,-2.0916,-0.6794,0.1756
1745409296.0235,0.1915,0.2562,9.7061,-1.9695,-0.6336,0.0763
1745409296.1296,0.1676,0.2155,9.8689,-2.0763,-0.5267,0.4351
1745409296.2356,0.2969,0.1772,9.7827,-2.1298,-0.4122,0.0840
1745409296.3417,0.0335,0.2203,9.8713,-3.9084,-0.5038,0.1450
1745409296.4478,0.1556,0.2753,9.7659,-1.8931,-0.4046,0.2061
1745409296.5539,0.1580,0.2442,9.7540,-2.1450,-0.6031,0.3359
1745409296.6600,0.2083,0.2011,9.8354,-2.0611,-0.6870,0.1985
1745409296.7660,0.1556,0.2490,9.8258,-1.9084,-0.7405,0.0840
1745409296.8721,0.1221,0.2514,9.9024,-2.1298,-0.8168,0.3969
1745409296.9782,0.1389,0.2059,9.8162,-2.0916,-0.7557,0.0992
1745409297.0843,0.1604,0.2298,9.8066,-1.8550,-0.8321,0.4198
1745409297.1903,0.1652,0.2035,9.7995,-1.8473,-0.5420,0.3130
1745409297.2964,0.2801,0.0215,9.8689,-2.0534,-0.6412,0.4122
1745409297.4025,0.1628,0.2179,9.8378,-2.1527,-0.3740,0.2748
1745409297.5085,0.2083,0.2011,9.8785,-3.9084,-0.6794,0.3206
1745409297.6146,0.1221,0.2682,9.8426,-2.0916,-0.7023,0.2748
1745409297.7209,0.2011,0.2155,9.8521,-2.0687,-0.7328,0.4733
1745409297.8271,0.1963,0.1676,9.9479,-2.0382,-0.6794,0.2901
1745409297.9332,0.1508,0.2155,9.8066,-0.0382,-0.4427,0.4809
1745409298.0393,0.1197,0.2610,9.7252,-1.9618,-0.6641,0.2137
1745409298.1454,0.1508,0.2203,9.8090,-2.1450,-0.7405,0.3206
1745409298.2515,0.1676,0.2155,9.9216,-2.0076,-0.6183,0.0763
1745409298.3575,0.0838,0.2610,9.8641,-1.9542,-0.6107,-1.9008
1745409298.4635,0.1604,0.2466,9.8354,-1.9618,-0.5420,0.1756
1745409298.5696,0.1077,0.2514,9.9192,-2.1527,-0.6794,0.2977
1745409298.6756,0.1580,0.2179,9.8521,-0.0382,-0.6794,0.0611
1745409298.7817,0.1556,0.2035,9.8641,-2.0458,-0.6489,0.3130
1745409298.8878,0.1365,0.1796,9.8282,-2.0229,-0.6947,0.3664
1745409298.9938,0.2825,0.2777,9.9000,-1.8626,-0.5878,0.2977
1745409299.0999,0.1867,0.1939,9.9455,-2.0840,-0.8779,0.3282
1745409299.2060,0.2155,0.1891,9.7971,-2.0153,-0.8473,0.4351
1745409299.3120,0.1580,0.2682,9.8641,-2.0992,-0.7481,0.1985
1745409299.4180,0.2179,0.2274,9.8426,-1.9160,-0.7328,0.4504
1745409299.5241,0.1963,0.2346,9.8186,-2.0000,-0.6641,0.3969
1745409299.6301,0.1867,0.2370,9.9383,-2.1374,-0.8397,0.1679
1745409299.7361,0.1125,0.2227,9.8210,-1.9313,-0.8168,0.2366
1745409299.8422,0.1748,0.2418,9.7755,-2.0992,-0.6183,0.2672
1745409299.9483,0.1508,0.2251,9.9048,-1.8702,-0.4198,0.2443
1745409300.0545,0.1006,0.2586,9.9000,-2.0687,-0.8473,0.1527
1745409300.1606,0.2634,0.2658,9.7851,-2.0992,-0.6489,0.4427
1745409300.2667,0.3041,0.2658,9.8737,-2.1374,-0.7634,0.5420
1745409300.3757,0.2346,0.2586,9.8282,-0.0076,-0.4809,0.1145
1745409300.4823,0.1700,0.2897,9.7971,-1.8931,-0.5954,0.5878
1745409300.5896,0.1676,0.2945,9.9072,-3.8779,-0.5725,0.3511
1745409300.6957,0.2083,0.1939,9.7995,-1.9466,-0.5420,0.1145
1745409300.8018,0.1245,0.2322,9.8114,-2.1527,-0.5954,0.2366
1745409300.9079,0.1269,0.2251,9.8569,-3.9008,-0.7481,0.2443
1745409301.0139,0.1556,0.1915,9.8282,-2.0840,-0.8702,0.3664
1745409301.1200,0.1508,0.2155,9.8665,-2.0763,-0.7939,0.2901
1745409301.2261,0.1867,0.2274,9.8497,-2.1221,-0.5267,0.0458
1745409301.3322,0.1556,0.2490,9.8426,-2.0458,-0.6641,0.4046
1745409301.4383,0.1748,0.2634,9.6558,-2.0153,-0.5954,0.2672
1745409301.5443,0.1796,0.2035,9.8378,-0.0076,-0.6336,0.4656
1745409301.6504,0.2945,0.2035,9.7540,-1.9313,-0.8321,0.1298
1745409301.7564,0.1844,0.1939,9.8234,-2.0992,-0.5725,0.1450
1745409301.8625,0.1628,0.2274,9.8306,-2.0000,-0.4962,0.4427
1745409301.9685,0.1939,0.2682,9.8665,-2.2595,-0.7252,0.1603
1745409302.0747,0.1772,0.2035,9.8019,-1.9771,-0.6870,-1.9084
1745409302.1807,0.1963,0.2442,9.6726,-2.1527,-0.6794,0.3969
1745409302.2868,0.1700,0.2155,9.8809,-1.9008,-0.7023,0.3435
1745409302.3930,0.1604,0.2322,9.8809,-2.0687,-0.5344,0.3588
1745409302.4992,0.1676,0.2322,9.8426,-2.1603,-0.5267,0.2290
1745409302.6081,0.1772,0.2107,9.9024,-2.0382,-0.8168,0.2977
1745409302.7162,0.2227,0.2322,9.8354,-2.1527,-0.5878,0.3969
1745409302.8222,0.1652,0.2059,9.8474,-1.9084,-0.5420,0.1985
1745409302.9283,0.0000,0.1652,9.8282,-1.8931,-0.7557,0.4809
1745409303.0374,0.1580,0.2035,9.8952,-1.9542,-0.7481,0.2443
1745409303.1434,0.1508,0.1867,9.7037,-1.8473,-0.6031,0.1679
1745409303.2496,0.1867,0.2682,9.8497,-2.0611,-0.5573,0.3588
1745409303.3557,0.2083,0.1867,9.9431,-2.1679,-0.5267,0.3130
1745409303.4618,0.1676,0.2682,9.9144,-1.8550,-0.6794,0.1908
1745409303.5678,0.2849,0.2203,9.8521,-2.1756,-0.5802,0.5038
1745409303.6739,0.1460,0.2490,9.9048,-2.1908,-0.8168,0.2824
1745409303.7800,0.1580,0.2322,9.8689,-2.0534,-0.9542,0.1374
1745409303.8860,0.0575,0.1796,9.8330,-2.0687,-0.6336,0.2672
