Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409392.1551,0.5698,0.9026,7.9631,-5.3435,4.1069,-0.0840
1745409392.2611,0.3424,0.7039,8.3510,-5.9237,4.6794,-0.0534
1745409392.3672,0.5818,0.4621,9.3158,-5.3969,3.9771,1.8931
1745409392.4732,0.4788,0.3328,9.9096,-5.4198,4.1298,1.8855
1745409392.5793,0.1724,0.0215,10.2807,-4.9237,3.7405,0.3435
1745409392.6874,-0.0694,-0.5602,12.1075,-3.0687,-0.3664,0.4504
1745409392.7933,-0.2083,-0.6345,12.5097,-1.1298,-2.4809,0.5649
1745409392.8993,-0.0431,-0.7997,12.5648,0.3206,-2.1832,0.4427
1745409393.0054,-0.1676,-0.7111,11.8441,0.9618,-5.8015,0.5802
1745409393.1114,-0.2179,-0.4046,10.8649,1.3893,-5.9008,0.7099
1745409393.2174,0.1389,0.2298,9.8402,0.8550,-4.3282,0.6183
1745409393.3234,0.2897,0.4573,8.8370,0.2214,-2.6183,0.3435
1745409393.4295,0.3065,0.8140,8.1044,-1.4809,-0.1450,0.1832
1745409393.5355,0.2203,1.0415,7.3981,-3.4962,1.5573,0.0305
1745409393.6415,0.1269,1.0008,7.4244,-4.4656,2.5191,0.0305
1745409393.7476,0.2969,1.0247,7.8171,-5.6260,3.8779,-0.0687
1745409393.8536,0.0503,0.7877,8.3246,-5.5954,3.4351,-1.8244
1745409393.9596,0.2514,0.7949,9.3733,-5.6183,4.1908,0.1298
1745409394.0677,0.0407,0.2131,11.0253,-4.0382,3.4809,0.1756
1745409394.1738,-0.1963,-0.1245,11.2504,-3.5115,1.7939,0.1832
1745409394.2799,0.0096,-0.1796,11.5879,-2.7939,-1.6031,-1.8168
1745409394.3860,-0.1365,-0.4214,12.2080,-1.1450,-2.6794,0.6489
1745409394.4920,-0.0192,-0.4836,12.3014,0.4427,-4.2595,0.5649
