Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745410583.3138,-0.4453,-0.1604,9.4044,-2.7405,0.5802,0.1603
1745410583.4198,-0.6752,-0.3448,9.9575,-1.2061,-1.3969,0.3511
1745410583.5269,-0.6345,-0.3065,10.0365,-1.9008,-0.7481,0.2290
1745410583.6361,-0.4501,-0.2083,9.6175,-2.4885,0.3359,0.3206
1745410583.7446,-0.8404,-0.3184,10.0963,-1.8015,-1.8168,0.1527
1745410583.8506,-0.5842,-0.3448,9.7013,-2.1374,-1.9389,0.5649
1745410583.9565,-0.6009,-0.1149,9.2057,-0.1298,-0.8779,0.2443
1745410584.0625,-0.8045,-0.3998,10.3094,-1.6336,-0.4733,0.4275
1745410584.1685,-0.5578,-0.2274,9.7707,-1.9389,-0.1908,0.3817
1745410584.2744,-0.8763,-0.3855,9.8043,-1.5573,-1.5878,0.4046
1745410584.3805,-0.6752,-0.1101,9.5337,-2.8015,-0.0611,1.9237
1745410584.4864,-0.7638,-0.3472,9.8976,-1.6031,-1.4275,0.5344
1745410584.5924,-0.7398,-0.2969,9.8234,-2.2443,-0.4046,0.3969
1745410584.6984,-0.7374,-0.2370,9.8186,-1.4885,-1.4504,0.2214
1745410584.8043,-0.6632,-0.1867,9.9958,-2.3359,0.0153,0.3893
1745410584.9103,-0.7709,-0.3376,9.7707,-1.3359,-2.1832,0.2748
1745410585.0163,-0.3328,-0.1293,9.0668,-2.7328,0.9542,0.1298
1745410585.1222,-0.9002,-0.3543,10.2448,-1.6260,-1.6641,0.3130
1745410585.2282,-0.4956,-0.2538,9.1746,-2.4885,0.5802,0.2061
1745410585.3342,-0.8140,-0.3184,9.9240,-1.6641,-1.1756,0.3511
1745410585.4402,-0.5962,-0.1915,9.6415,-2.2214,-0.4351,0.3969
1745410585.5462,-0.6991,-0.2586,9.8474,-2.6870,-0.4504,0.1985
1745410585.6522,-0.6369,-0.4549,9.8402,-1.4198,-1.5344,0.2595
1745410585.7581,-0.6225,-0.1820,9.2656,-1.9237,-0.3817,0.2519
1745410585.8641,-0.5315,-0.2586,9.7540,-2.3893,-0.3664,0.0916
1745410585.9701,-0.7853,-0.3591,9.9048,-1.9084,-1.4962,0.1756
1745410586.0761,-0.6680,-0.3280,9.4954,-1.7939,-1.2595,0.5802
1745410586.1820,-0.6273,-0.1173,9.1746,-2.1145,-0.5878,0.2595
1745410586.2880,-0.4812,-0.2729,10.2615,-1.9008,0.1985,0.4275
1745410586.3940,-0.8116,-0.3879,10.2687,-1.7481,-1.1832,0.2748
1745410586.5001,-0.6153,-0.2634,9.5074,-3.8931,-1.0840,0.3053
1745410586.6061,-0.6776,-0.2370,9.3015,-2.3664,-0.9542,0.2137
1745410586.7121,-0.5219,-0.2801,9.5505,-2.0534,0.1374,0.1603
1745410586.8182,-0.6919,-0.2179,9.5505,-1.7786,-0.6489,0.1603
1745410586.9277,-0.7590,-0.3400,9.4140,-2.1756,-0.6183,0.2824
1745410587.0339,-0.6009,-0.3232,10.3956,-1.8244,-0.2290,0.1450
1745410587.1399,-0.7733,-0.4238,10.2855,-1.7481,-1.2137,0.3282
1745410587.2459,-0.7661,-0.3926,9.6678,-1.9084,-0.1908,0.3588
1745410587.3520,-0.6536,-0.1772,9.1937,-2.5191,-0.6107,0.4122
1745410587.4580,-0.6129,-0.3065,9.6726,-2.4504,-0.6107,0.4580
1745410587.5671,-0.6943,-0.3974,9.7540,-1.9084,-1.0840,0.3130
1745410587.6731,-0.6129,-0.2682,9.5050,-2.0992,-0.3282,0.2901
1745410587.7791,-0.6321,-0.2370,10.0173,-2.1679,-0.3664,0.2748
1745410587.8851,-0.6105,-0.3112,9.6726,-2.2519,-0.4351,0.1221
1745410587.9911,-0.7087,-0.2274,9.2991,-2.1832,-1.0305,0.2901
1745410588.0972,-0.5459,-0.3759,9.3134,-2.0153,-0.4656,0.2901
1745410588.2032,-0.7781,-0.2753,10.0772,-2.0076,-0.8015,0.3511
1745410588.3092,-0.6249,-0.4669,10.0868,-1.8168,-0.6794,0.5267
1745410588.4152,-0.7590,-0.3567,9.6606,-1.8855,-0.6412,0.3588
1745410588.5213,-0.5722,-0.2298,9.4619,-0.0534,-0.5802,0.2061
1745410588.6276,-0.8284,-0.2298,10.1873,-1.8168,-0.7405,0.2366
1745410588.7338,-0.6369,-0.4070,10.1682,-1.6336,-0.7176,0.4580
1745410588.8401,-0.7015,-0.2155,9.4547,-2.5573,-0.7786,0.3206
1745410588.9463,-0.5746,-0.2801,9.3685,-2.0763,-0.5878,0.0840
1745410589.0523,-0.6967,-0.3376,10.3118,-1.7786,-0.5267,0.1985
1745410589.1595,-0.5914,-0.4621,10.1897,-1.5649,-0.5802,0.4656
1745410589.2657,-0.6153,-0.2753,9.9599,-1.5420,-0.6183,0.3664
1745410589.3719,-0.5842,-0.2466,9.2416,-2.9008,-0.7176,0.4427
1745410589.4818,-0.7326,-0.2274,9.8689,-2.1908,-0.5496,0.1603
1745410589.5883,-0.6776,-0.3998,9.6438,-1.7099,-1.1298,0.4122
1745410589.6944,-0.8763,-0.3807,9.9503,-1.7481,-0.8092,0.4351
1745410589.8004,-0.5770,-0.3280,9.6606,-2.2519,-0.1527,0.3969
1745410589.9064,-0.7111,-0.2370,9.8881,-2.1145,-1.0458,0.2061
1745410590.0125,-0.4693,-0.3663,9.0668,-2.2137,-0.7634,0.3817
1745410590.1185,-0.6369,-0.1580,9.3685,-2.2901,-0.8626,0.2214
1745410590.2245,-0.5531,-0.2825,9.9503,-2.1450,-0.3282,0.2290
1745410590.3305,-0.7925,-0.3903,10.2544,-1.6794,-1.3511,0.3053
1745410590.4365,-0.6488,-0.3112,9.3494,-2.1145,-0.8015,0.2672
1745410590.5425,-0.7518,-0.1987,9.4236,-2.2214,-0.7863,0.5344
1745410590.6485,-0.6345,-0.1891,10.0772,-3.9084,-0.3588,0.0763
1745410590.7545,-0.6991,-0.1676,10.0078,-1.9924,-1.0840,0.2824
1745410590.8605,-0.5914,-0.3424,9.3158,-2.0992,-0.7481,0.3893
1745410590.9665,-0.8811,-0.1915,9.5050,-2.1450,-1.0153,0.3588
1745410591.0726,-0.5507,-0.3376,9.7971,-2.2824,-0.5038,0.2443
1745410591.1788,-0.6488,-0.1939,10.0221,-2.2672,-0.8473,0.2901
1745410591.2877,-0.6416,-0.3831,9.4116,-2.2214,-1.0534,0.2977
1745410591.3940,-0.6871,-0.1891,9.4188,-2.2519,-1.1298,0.1908
1745410591.5028,-0.6560,-0.3208,9.7875,-2.2748,-0.6718,0.0992
1745410591.6104,-0.8547,-0.2705,10.0533,-1.4122,-0.8473,0.4427
1745410591.7165,-0.5219,-0.3065,9.4523,-2.4351,-0.9542,0.1527
1745410591.8225,-0.6967,-0.2059,9.3518,-2.1221,-0.8244,0.3969
1745410591.9314,-0.6153,-0.3352,9.8976,-1.9389,-0.4656,0.4962
1745410592.0380,-0.7733,-0.3639,10.1275,-1.6489,-1.1298,0.3511
1745410592.1441,-0.6273,-0.3519,9.6247,-1.7710,-0.4504,0.4580
1745410592.2501,-0.7518,-0.0239,9.2464,-2.7405,-0.8168,0.4198
1745410592.3561,-0.6081,-0.3304,9.7875,-0.0229,-0.4962,0.4046
1745410592.4621,-0.7614,-0.3448,9.9455,-1.7939,-1.1985,0.4656
1745410592.5682,-0.4764,-0.3687,9.6869,-3.8779,-0.4198,0.0534
1745410592.6742,-0.6728,-0.1293,9.2823,-1.9924,-1.0534,0.2443
1745410592.7802,-0.6057,-0.2131,9.6103,-2.1298,-0.0687,0.2366
1745410592.8863,-0.6943,-0.4405,10.3453,-1.5115,-1.2137,0.3130
1745410592.9923,-0.5866,-0.3543,9.4475,-2.2443,-0.2290,0.2824
1745410593.0983,-0.8332,-0.1772,9.7588,-1.5954,-1.2519,0.2977
1745410593.2044,-0.5219,-0.2753,9.8761,-2.0687,-0.1374,0.5344
1745410593.3104,-0.6416,-0.2035,9.8809,-2.3435,-0.5878,0.1450
1745410593.4164,-0.5914,-0.2346,9.6702,-1.5038,-0.5038,0.2824
1745410593.5225,-0.8643,-0.3352,10.2520,-1.5344,-1.1221,0.3053
1745410593.6285,-0.4693,-0.2011,9.3278,-2.4656,-1.8779,0.3511
1745410593.7346,-0.6871,-0.2897,9.7923,-2.2519,-0.9466,0.3511
1745410593.8407,-0.6369,-0.4549,10.3022,-1.3053,-0.1985,0.4809
1745410593.9470,-0.7518,-0.3903,9.6223,-2.0458,-0.4504,0.2595
1745410594.0532,-0.5004,-0.2849,9.1866,-2.3435,-0.5038,0.2672
1745410594.1592,-0.7015,-0.2107,9.8402,-2.1908,-0.6107,0.3206
1745410594.2653,-0.5722,-0.4836,10.3238,-1.5191,-0.9313,0.4504
1745410594.3715,-0.7398,-0.2825,9.6893,-1.7405,-0.5878,0.6031
1745410594.4792,-0.6321,-0.1437,9.5481,-2.2901,-0.5191,0.2672
1745410594.5883,-0.8404,-0.3112,9.8665,-2.2977,-1.2443,0.4504
1745410594.6943,-0.5674,-0.4118,9.5529,-3.8855,-0.5115,0.1069
1745410594.8004,-0.8068,-0.2370,9.6510,-1.9084,-0.5191,0.5649
1745410594.9064,-0.4405,-0.2322,9.3781,-2.5344,-0.4580,0.4122
1745410595.0125,-0.5674,-0.1748,9.5960,-2.4962,-0.0840,1.8931
1745410595.1185,-0.6440,-0.3831,9.6199,-1.6107,-0.8168,0.2901
1745410595.2245,-0.7877,-0.4477,9.9192,-1.7634,-1.0840,0.3282
1745410595.3305,-0.4525,-0.2131,9.1578,-2.3359,-0.8626,0.0229
1745410595.4365,-0.7638,-0.1772,10.1155,-2.0611,-0.1603,0.0992
1745410595.5426,-0.7135,-0.3783,10.3884,-1.3511,-0.5573,0.1450
1745410595.6486,-0.7374,-0.4573,9.2536,-2.3664,-0.7634,-1.7939
1745410595.7545,-0.5722,-0.3304,9.4403,-2.0534,-0.8550,0.2672
1745410595.8605,-0.6273,-0.1844,9.6893,-2.1527,-0.4351,0.2443
1745410595.9665,-0.6536,-0.5938,10.1418,-1.8244,-0.9618,0.4580
1745410596.0726,-0.6153,-0.4429,9.5385,-1.6336,-0.5038,0.5344
1745410596.1797,-0.6129,-0.2729,9.3877,-3.8931,-0.7023,0.3664
